epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4056,1.29076,3.14364,2.8167,1.36844,0,0.00605,0.86364,0.30602,0.12334,0.00106,0.15,0.00154,0.00021,1.91026,60.6443,3.31567,1.6983,0,0.000192308,0.000192308,0.0809615
2,23.8207,1.25778,2.48749,2.38028,1.27282,0,0.73733,0.27213,0.47037,0.23746,0.12859,0.39091,0.13136,0.03751,1.47764,11.5233,2.66699,1.24911,0,0.000388424,0.000388424,0.0611577
3,35.0518,1.28954,2.48812,2.19333,1.29495,0,0.41635,0.54545,0.55878,0.38175,0.35133,0.35489,0.47344,0.33178,1.07098,2.86404,2.11742,1.01889,0,0.00058058,0.00058058,0.0413498
4,46.1593,1.16211,2.00656,2.08428,1.21048,0,0.47376,0.59091,0.57981,0.40505,0.46582,0.63946,0.54148,0.37497,1.05028,2.59679,1.82466,1.07261,0,0.000768776,0.000768776,0.021538
5,57.4391,1.22189,2.05259,1.93244,1.27095,0,0.85843,0.58636,0.75303,0.45419,0.85843,0.58636,0.75303,0.52189,1.42877,2.24627,1.82537,1.19343,0,0.000953012,0.000953012,0.00172224
6,68.5435,1.19843,2.06666,1.857,1.24179,0,0.51467,0.62528,0.56842,0.39078,0.55211,0.67727,0.6038,0.38502,1.20212,2.04548,2.51283,1.14472,0,0.0009505,0.0009505,0.0009505
7,79.7125,1.20141,2.03403,1.92385,1.28607,0,0.44736,0.58636,0.49854,0.34336,0.44736,0.58636,0.51521,0.33864,1.08061,2.05743,2.49727,1.12248,0,0.0009406,0.0009406,0.0009406
8,91.1271,1.16127,1.85697,1.82612,1.22122,0,0.75782,0.54776,0.6508,0.39313,0.83757,0.59288,0.71644,0.55283,1.28076,1.53343,1.93636,1.26709,0,0.0009307,0.0009307,0.0009307
9,102.619,1.09946,1.79984,1.77035,1.18907,0,0.82603,0.73065,0.85372,0.54545,0.82603,0.73065,0.85372,0.682,1.25452,1.08558,1.79477,1.21163,0,0.0009208,0.0009208,0.0009208
10,113.978,1.18239,1.96919,1.73228,1.23456,0,0.73045,0.80029,0.82279,0.55216,0.83393,0.75022,0.84529,0.66169,1.20945,1.06346,1.92751,1.24009,0,0.0009109,0.0009109,0.0009109
11,125.015,1.14874,1.78027,1.70644,1.21537,0,0.7498,0.66639,0.7974,0.52462,0.85188,0.56098,0.80185,0.60452,1.21362,1.38535,2.01768,1.2579,0,0.000901,0.000901,0.000901
